abbreviation	EC
EX_sTn_antigen(e)	3.1.1.34
DDCAte	3.1.1.34
EX_pcreat(e)	3.1.1.34
EX_HC00342(e)	3.1.1.34
sink_11_cis_retfa(c)	6.2.1.3
sink_25hvitd2(c)	3.1.2.2
sink_9_cis_retfa(c)	TCDB:3.A.1.211.1
sink_C02528(c)	TCDB:4.C.1.1.5
sink_C02528(c)	TCDB:4.C.1.1.8
sink_HC02191(c)	6.2.1.3
sink_HC02192(c)	3.1.2.2
sink_HC02193(c)	TCDB:3.A.1.211.1
sink_HC02194(c)	TCDB:4.C.1.1.5
sink_HC02194(c)	TCDB:4.C.1.1.8
sink_HC02195(c)	6.2.1.3
sink_HC02196(c)	3.1.2.2
sink_HC02197(c)	TCDB:4.C.1.1.5
sink_HC02197(c)	TCDB:4.C.1.1.8
sink_HC02198(c)	6.2.1.3
sink_HC02220(c)	3.1.2.2
sink_Tyr_ggn(c)	TCDB:4.C.1.1.5
sink_Tyr_ggn(c)	TCDB:4.C.1.1.8
sink_btn(c)	3.1.2.2
sink_c226coa(c)	TCDB:3.A.1.211.1
sink_chol(c)	TCDB:4.C.1.1.5
sink_chol(c)	TCDB:4.C.1.1.8
sink_cholate(c)	6.2.1.3
sink_coa(c)	3.1.2.2
sink_crvnc(c)	TCDB:3.A.1.211.1
sink_dgchol(c)	TCDB:4.C.1.1.5
sink_dgchol(c)	TCDB:4.C.1.1.8
sink_doco13ecoa(c)	3.1.2.2
sink_fad(c)	TCDB:3.A.1.211.1
sink_fe3(c)	TCDB:4.C.1.1.5
sink_fe3(c)	TCDB:4.C.1.1.8
sink_gchola(c)	6.2.1.3
sink_glygn2(c)	6.2.1.3
sink_hdca(c)	3.1.2.2
sink_lnlc(c)	TCDB:4.C.1.1.5
sink_lnlc(c)	TCDB:4.C.1.1.8
sink_lnlccoa(c)	6.2.1.3
sink_lnlncacoa(c)	3.1.2.2
sink_lnlncgcoa(c)	TCDB:3.A.1.211.1
sink_nad(c)	TCDB:4.C.1.1.5
sink_nad(c)	TCDB:4.C.1.1.8
sink_nadp(c)	6.2.1.3
sink_odecoa(c)	3.1.2.2
sink_pmtcoa(c)	TCDB:4.C.1.1.5
sink_pmtcoa(c)	TCDB:4.C.1.1.8
sink_pydam(c)	6.2.1.3
sink_pydx(c)	3.1.2.2
sink_pydxn(c)	TCDB:3.A.1.211.1
sink_retfa(c)	TCDB:4.C.1.1.5
sink_retfa(c)	TCDB:4.C.1.1.8
sink_retinol(c)	6.2.1.3
sink_stcoa(c)	3.1.2.2
sink_tag_hs(c)	TCDB:3.A.1.211.1
sink_tchola(c)	TCDB:3.A.1.211.1
sink_tdchola(c)	TCDB:4.C.1.1.5
sink_tdchola(c)	TCDB:4.C.1.1.8
sink_tdechola(c)	6.2.1.3
sink_thf(c)	3.1.2.2
sink_thmpp(c)	TCDB:3.A.1.211.1
sink_thmtp(c)	TCDB:4.C.1.1.5
sink_thmtp(c)	TCDB:4.C.1.1.8
sink_tmndnc(c)	6.2.1.3
sink_tmndnccoa(c)	3.1.2.2
sink_vitd3(c)	TCDB:3.A.1.211.1
2MBCOATA	2.3.1.180
36DAHXI	5.4.3.3
3BTCOAI	5.3.3.3
3HBCD	4.2.1.55
5DGCLURI	5.3.1.30
5DGLCNR	1.1.1.69
ACBIPGT	2.7.1.156
ACCOAT	2.8.3.-
ACGApts	2.7.1.69
ACNML	4.1.3.3
ACOAD1	1.3.8.1
ACOAD20	1.3.8.1
ACOADH2	1.3.8.1
